first,second,third,likelihood_ratio
avez,oublié,gouvernait,183.85564164823572
messieurs,permettez,abord,107.50032891945355
plus,plus,nombreux,135.94677123246092
fabius,strauss,kahn,217.06619704301647
unanimité,majorité,qualifiée,176.86030509387243
mesure,intérêt,général,120.11671746851655
installation,jeunes,agriculteurs,153.83322782096178
pensent,avez,oublié,219.48267013760665
français,origine,étrangère,100.1771766993881
passer,unanimité,majorité,127.77741121217556
certain,nombre,gens,450.26399565021626
bompard,bompard,bompard,223.9061394658408
politique,économique,sociale,124.20024788605504
soit,milliards,francs,205.88879934733112
tour,élection,présidentielle,309.2527722338368
milliards,euros,2005,321.5881580786915
milliards,euros,mais,298.9475471891257
voilà,mesdames,messieurs,759.3429575726102
front,national,vive,1043.583434962317
école,nationale,magistrature,95.7055026971767
bien,mesdames,messieurs,748.4499559643195
première,guerre,mondiale,134.55161337866735
vous,voyez,bien,148.58758057856258
hommes,politiques,français,142.0461037214738
faut,faire,cesser,156.9071622712205
faut,bien,dire,97.80046459859373
mesdames,messieurs,permettez,767.4828821155173
premier,ministre,villepin,260.6722660102366
sarkozy,ségolène,royal,322.82580431262465
référendum,constitution,européenne,310.7590566673953
crois,certain,nombre,433.29583228897366
