first,second,likelihood_ratio
taux,chômage,30.855670983934704
droits,homme,36.98166226807758
nous,avons,45.63176736885831
certain,nombre,61.583446300704296
service,public,41.47899055011153
économique,sociale,22.896625131897675
protection,contre,31.25728100423649
plus,plus,13.744827983713336
français,français,13.323511045054898
identité,nationale,30.90074616668065
france,plus,5.707041267735941
union,européenne,42.174064777683284
saint,siffrein,64.09331766819739
milliards,euros,60.96657321099917
taxe,carbone,41.47899055011153
crois,crois,13.323511045054898
lutter,contre,35.75144901472049
président,république,44.09435139680238
front,national,240.06367105142348
sécurité,sociale,35.75144901472049
quelque,sorte,94.78923966582444
crimes,délits,45.29807555988042
