measure,first,second,third
21.996018018137573,mère,arts,armes
19.102689872970117,baisse,salaires,travailleurs
15.18629219161722,croissance,plus,faible
15.195799277361594,choix,temps,travail
20.770014343248743,éducation,civique,morale
15.25185692256716,éducation,leurs,enfants
18.61904855969225,hausse,pouvoir,achat
17.134767828225883,chers,amis,chers
16.912375406889435,chers,camarades,chers
17.656168015252945,contre,immigration,clandestine
22.18505184252759,charge,cotisations,salariales
17.24292836444129,mesures,prendre,paris
20.5848415681075,rurale,équité,sociale
9.93784377971734,faut,bien,dire
18.101200254829628,vivent,euros,mois
22.529700013915033,appel,offre,alimentaire
15.770014343248747,front,national,assemblée
15.185051842527592,front,national,vive
19.074855664773388,millions,crimes,délits
16.05450701938159,millions,vivent,euros
15.811821258939595,millions,travailleurs,pauvres
13.131985772059306,millions,français,vivent
21.330391205691626,rupture,contrat,préférence
15.682551501998404,députés,front,national
14.38221240159248,salaires,travailleurs,français
19.722345091857434,matin,paysans,arrive
21.75476656954981,équité,sociale,dres
13.477947275390783,plus,important,celui
17.462585818056496,partis,gouverné,france
20.691063001853923,impôt,revenu,impôt
18.37804046018845,vrai,bilan,démographique
16.099181087192974,mettre,oeuvre,grand
16.72234509185743,libre,choix,temps
21.60008934180643,amis,militants,sympathisants
17.56007366295855,amis,chers,camarades
18.75655208344218,pouvoir,achat,consommation
18.169804068828654,oeuvre,libre,circulation
20.497991154187694,vents,concurrence,mondiale
17.64073132630378,national,union,patriotique
12.278161246919073,national,vive,france
19.436590609523556,élections,législatives,juin
13.667717088229967,mois,plus,tard
15.091097356568905,ministre,éducation,nationale
22.95239108573731,demain,rase,gratis
15.568110982023974,demain,voulu,faire
14.734170527254221,année,après,année
16.829304334756255,droit,vote,immigrés
14.293845332772023,royal,sarkozy,bayrou
20.825155897441206,création,revenu,parental
14.19889692871676,euros,mois,millions
19.648998942287378,logement,aides,sociales
12.938364678173638,peuples,européens,plus
21.02962641078039,compensation,dette,agricole
21.26666560808124,réservées,familles,françaises
18.090393499873045,économique,social,culturel
17.633535824899575,économique,retour,croissance
23.26666560808124,lire,écrire,compter
17.511495418537443,deuxième,tour,élection
17.298501695203242,deuxième,guerre,mondiale
16.44808624836138,militants,front,national
15.702092667830982,décidons,plus,mêmes
17.97969843173305,entré,millions,immigrés
21.62923568746595,doivent,garder,souvenir
18.15224569744435,tour,élection,présidentielle
19.03408605897109,juridique,social,mère
14.91748483384455,suis,seul,candidat
20.084074194802767,dette,publique,réelle
12.144666219036239,seul,pays,monde
22.648998942287378,émeutes,novembre,2005
19.212359188523322,rmistes,millions,titulaires
21.248963606347782,institution,droits,douane
19.58098051885873,géographie,histoire,religion
16.848813093195343,lutter,contre,immigration
15.737293587472792,préférence,nationale,emploi
24.26666560808124,dotation,rurale,équité
16.101200254829628,ainsi,pouvoir,achat
20.282013572414677,dumping,monétaire,social
23.41951709616461,corruption,politico,financière
19.430164340364122,pouvoirs,publics,successifs
16.599137877644594,voulu,faire,hier
15.03081092693823,sarkozy,bayrou,royal
14.293845332772023,sarkozy,royal,bayrou
15.278161246919073,électeurs,front,national
18.349127768273213,cinq,dernières,années
21.851628108802398,législatives,juin,prochains
20.282013572414677,statut,juridique,social
15.828908032302312,vive,nation,vive
15.185051842527592,vive,front,national
14.658983030860004,vive,france,vive
16.138241593865366,président,république,chef
17.53735358645847,jours,premier,tour
20.493517677608388,dégradation,pouvoir,achat
20.45931068602364,respect,ordre,naturel
16.503227802553845,défense,sociale,nouvelle
24.074020530138846,ultra,libéralisme,mondialisé
